"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9334","test_page_title","tests","Thu Sep 11 06:56:56 UTC 2025","passed","Thu Sep 11 06:57:06 UTC 2025","ExampleTestCase","test_example","",""
"","1530","test_send_message","tests","Thu Sep 11 06:57:04 UTC 2025","passed","Thu Sep 11 06:57:05 UTC 2025","ExampleTestCase","test_example","",""
"","3974","test_page_title","tests","Thu Sep 11 06:57:03 UTC 2025","passed","Thu Sep 11 06:57:07 UTC 2025","ExampleTestCase","test_example","",""
"","3132","test_send_message","tests","Thu Sep 11 06:57:07 UTC 2025","passed","Thu Sep 11 06:57:10 UTC 2025","ExampleTestCase","test_example","",""
"","2936","test_send_message","tests","Thu Sep 11 06:57:03 UTC 2025","passed","Thu Sep 11 06:57:06 UTC 2025","ExampleTestCase","test_example","",""
"","3961","test_send_message","tests","Thu Sep 11 06:57:08 UTC 2025","passed","Thu Sep 11 06:57:11 UTC 2025","ExampleTestCase","test_example","",""
"","11852","test_page_title","tests","Thu Sep 11 06:56:51 UTC 2025","passed","Thu Sep 11 06:57:03 UTC 2025","ExampleTestCase","test_example","",""
"","1670","test_send_message","tests","Thu Sep 11 06:57:03 UTC 2025","passed","Thu Sep 11 06:57:05 UTC 2025","ExampleTestCase","test_example","",""
"","4468","test_page_title","tests","Thu Sep 11 06:56:58 UTC 2025","passed","Thu Sep 11 06:57:03 UTC 2025","ExampleTestCase","test_example","",""
"","7860","test_page_title","tests","Thu Sep 11 06:56:56 UTC 2025","passed","Thu Sep 11 06:57:04 UTC 2025","ExampleTestCase","test_example","",""
"","4722","test_page_title","tests","Thu Sep 11 06:57:03 UTC 2025","passed","Thu Sep 11 06:57:08 UTC 2025","ExampleTestCase","test_example","",""
"","2070","test_send_message","tests","Thu Sep 11 06:57:06 UTC 2025","passed","Thu Sep 11 06:57:08 UTC 2025","ExampleTestCase","test_example","",""
