"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10320","test_page_title","tests","Thu Sep 11 06:32:16 UTC 2025","passed","Thu Sep 11 06:32:26 UTC 2025","ExampleTestCase","test_example","",""
"","2034","test_send_message","tests","Thu Sep 11 06:32:26 UTC 2025","passed","Thu Sep 11 06:32:28 UTC 2025","ExampleTestCase","test_example","",""
"","2126","test_send_message","tests","Thu Sep 11 06:32:36 UTC 2025","passed","Thu Sep 11 06:32:39 UTC 2025","ExampleTestCase","test_example","",""
"","4046","test_page_title","tests","Thu Sep 11 06:32:17 UTC 2025","passed","Thu Sep 11 06:32:21 UTC 2025","ExampleTestCase","test_example","",""
"","3389","test_send_message","tests","Thu Sep 11 06:32:21 UTC 2025","passed","Thu Sep 11 06:32:24 UTC 2025","ExampleTestCase","test_example","",""
"","4139","test_page_title","tests","Thu Sep 11 06:32:20 UTC 2025","passed","Thu Sep 11 06:32:24 UTC 2025","ExampleTestCase","test_example","",""
"","3560","test_send_message","tests","Thu Sep 11 06:32:24 UTC 2025","passed","Thu Sep 11 06:32:28 UTC 2025","ExampleTestCase","test_example","",""
"","1755","test_send_message","tests","Thu Sep 11 06:32:29 UTC 2025","passed","Thu Sep 11 06:32:31 UTC 2025","ExampleTestCase","test_example","",""
"","13759","test_page_title","tests","Thu Sep 11 06:32:23 UTC 2025","passed","Thu Sep 11 06:32:36 UTC 2025","ExampleTestCase","test_example","",""
"","9758","test_page_title","tests","Thu Sep 11 06:32:19 UTC 2025","passed","Thu Sep 11 06:32:29 UTC 2025","ExampleTestCase","test_example","",""
"","3587","test_send_message","tests","Thu Sep 11 06:32:19 UTC 2025","failed","Thu Sep 11 06:32:23 UTC 2025","ExampleTestCase","test_example","",""
"","3650","test_page_title","tests","Thu Sep 11 06:32:16 UTC 2025","passed","Thu Sep 11 06:32:19 UTC 2025","ExampleTestCase","test_example","",""
